run_id,candidate_id,encoder_type,architecture_json,encoder_strides,decoder_strides,decoder_condition,n_filters,compress,lstm,activation,layer_ops_list,layer_se_list,valid_interface,status,semantic_proxy_loss,proxy_recon_l1,proxy_mel_loss,teacher_latent_smooth_l1,teacher_latent_cosine_distance,teacher_temporal_delta_loss,rvq_code_agreement,rvq_code_flip_rate,rvq_quantized_feature_l1,distill_enabled,distill_steps,train_mean_latent_smooth_l1,train_mean_cosine_distance,train_mean_temporal_delta_loss,train_mean_total,train_last_latent_smooth_l1,train_last_cosine_distance,train_last_temporal_delta_loss,train_last_total,encoder_params,encoder_macs,encoder_macs_g,thop_params,encoder_rtf_mean,encoder_rtf_std,evaluated_batches,codes_shape,output_shape,interface_shape_1s,error,stage,stage_rank,stage_score,stage_semantic_penalty,stage_teacher_penalty,stage_rvq_penalty,stage_recon_penalty,stage_mel_penalty,stage_quality_penalty,stage_resource_score,selected_for_next_stage,stage_selection_reason
exp1_nas_distill_run1_seed42,hand_encoder,hand-designed,configs/teacher_model_reference.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,64,2,2,ELU,base_seanet_resnet_block,[],True,completed,,,,,,,,,,,,,,,,,,,,67705856,5869363200,5.8693632,67705856,0.00818658000061987,0.0005421129149952873,,,,"[1, 1024, 50]",,stage1_profile,,,,,,,,,,False,
exp1_nas_distill_run1_seed42,nas_seed42_000000,nas-candidate,artifacts/candidates/nas_seed42_000000.json,"[4, 4, 4, 5]","[5, 4, 4, 4]",geometry_matched_decoder,24,2,2,ELU,"[""pw_bottleneck_k3"", ""std_k5"", ""std_k3"", ""skip""]","[true, false, false, false]",True,completed,,,,,,,,,,False,0,,,,,,,,,12390380,801984072,0.801984072,12390044,0.008773100001417334,0.0015764996006505311,,,,"[1, 1024, 50]",,stage1_profile,2414,-1.6529798444242907,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000001,nas-candidate,artifacts/candidates/nas_seed42_000001.json,"[4, 5, 4, 4]","[4, 4, 5, 4]",geometry_matched_decoder,48,4,1,ELU,"[""std_k3"", ""std_k5"", ""sep_k3"", ""sep_k3""]","[false, false, true, false]",True,completed,,,,,,,,,,False,0,,,,,,,,,23882864,1914552000,1.914552,23881424,0.005013699999835808,0.0013796835260896716,,,,"[1, 1024, 50]",,stage1_profile,6080,-1.0220554849304513,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000002,nas-candidate,artifacts/candidates/nas_seed42_000002.json,"[8, 5, 4, 2]","[2, 4, 5, 8]",geometry_matched_decoder,32,2,2,Snake,"[""skip"", ""sep_k9"", ""sep_k7"", ""sep_k5""]","[false, false, true, false]",True,completed,,,,,,,,,,False,0,,,,,,,,,18843008,1070235776,1.070235776,18840160,0.004882640000141691,0.00013309894951789032,,,,"[1, 1024, 50]",,stage1_profile,4152,-1.3930850843827223,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000003,nas-candidate,artifacts/candidates/nas_seed42_000003.json,"[4, 4, 5, 4]","[4, 5, 4, 4]",geometry_matched_decoder,32,4,1,ELU,"[""dil_k9"", ""sep_k5"", ""std_k3"", ""skip""]","[true, false, true, false]",True,completed,,,,,,,,,,False,0,,,,,,,,,13070944,1045071136,1.045071136,13070496,0.005712839999614516,0.00015034071384036922,,,,"[1, 1024, 50]",,stage1_profile,3744,-1.5526769460455323,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000004,nas-candidate,artifacts/candidates/nas_seed42_000004.json,"[10, 4, 4, 2]","[2, 4, 4, 10]",geometry_matched_decoder,32,4,1,Snake,"[""std_k3"", ""pw_bottleneck_k3"", ""sep_k3"", ""sep_k5""]","[false, false, false, true]",True,completed,,,,,,,,,,False,0,,,,,,,,,12542112,792379648,0.792379648,12539168,0.004039620000548893,7.568662853384435e-05,,,,"[1, 1024, 50]",,stage1_profile,1485,-1.7304782466975537,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000005,nas-candidate,artifacts/candidates/nas_seed42_000005.json,"[4, 5, 4, 4]","[4, 4, 5, 4]",geometry_matched_decoder,32,4,1,Snake,"[""sep_k7"", ""sep_k3"", ""pw_bottleneck_k3"", ""sep_k5""]","[false, false, false, false]",True,completed,,,,,,,,,,False,0,,,,,,,,,13044160,876544000,0.876544,13041216,0.004066900000179885,0.00032503844032810437,,,,"[1, 1024, 50]",,stage1_profile,2201,-1.666717521277238,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000006,nas-candidate,artifacts/candidates/nas_seed42_000006.json,"[4, 4, 5, 4]","[4, 5, 4, 4]",geometry_matched_decoder,48,4,1,Snake,"[""std_k3"", ""sep_k3"", ""std_k3"", ""sep_k7""]","[true, true, false, false]",True,completed,,,,,,,,,,False,0,,,,,,,,,24031184,1879681584,1.879681584,24026768,0.006856359999801498,0.000567754992280845,,,,"[1, 1024, 50]",,stage1_profile,6244,-0.9962408021241469,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000007,nas-candidate,artifacts/candidates/nas_seed42_000007.json,"[4, 4, 4, 5]","[5, 4, 4, 4]",geometry_matched_decoder,48,4,2,Snake,"[""sep_k9"", ""pw_bottleneck_k3"", ""dil_k3"", ""std_k7""]","[true, false, false, true]",True,completed,,,,,,,,,,False,0,,,,,,,,,39532832,2766451152,2.766451152,39528416,0.007757540001330198,0.0015917763871060833,,,,"[1, 1024, 50]",,stage1_profile,7896,-0.585982985016495,,,,,,,,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000008,nas-candidate,artifacts/candidates/nas_seed42_000008.json,"[4, 4, 4, 5]","[5, 4, 4, 4]",geometry_matched_decoder,24,4,1,Snake,"[""sep_k3"", ""std_k7"", ""dil_k5"", ""dil_k3""]","[false, false, false, false]",True,completed,,,,,,,,,,False,0,,,,,,,,,8981408,692582400,0.6925824,8979200,0.00667374000113341,0.00013555240534378782,,,,"[1, 1024, 50]",,stage1_profile,1251,-1.891122177551869,,,,,,,,False,not in top-k
